Nr sieciowy|Nr fabryczny|Kod błędu|Kod błędu (2 przet)|Data|Czas|Czas pracy (h)|Czas pracy z błędem (h)|Energia|Objętość (m3)|Obj (2 przet) (m3)|Różnica objętości (m3)|Wejście dod 1|Wejście dod 2|Wejście dod 3|Wejście dod 4|Przepływ (m3/h)|Przepływ chwilowy 2 (m3/h)|Różnica przepływu (m3/h)|Moc|T zasilania (C)|T powrotu (C)|T różnica (C)|En rej chłodu|En taryfa 1|En taryfa 2|Obj rej chłodu (m3)|Obj taryfa 1 (m3)|Obj taryfa 2 (m3)|Obj masowa 1 (m3)|Obj masowa 2 (m3)|Różnica obj mas (m3)|Data zapisu maks|Przepływ maks z mies (m3/h)|Moc maks z mies|Data zapisu śr|Przeplyw śr z doby (m3/h)|T zas śr z doby (C)|T pow śr z doby (C)|Data zapisu arch rozl|En arch rozl|En dod arch rozl|En tar1 arch rozl|En tar2 arch rozl|Obj arch rozl (m3)|Wd1 arch rozl|Wd2 arch rozl|Wd3 arch rozl|Wd4 arch rozl|Adres
42|15200206|0||19-12-11|10m23s01|119278|2213|221,823[GJ]|3475,274|||712,671[m3]|0,006[m3]|0,043[m3]|3,118[m3]|0,107|||1,49[kW]|76,4|64,3|12,1|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 2/14
43|28700309|0||19-12-11|10m23s05|91901|3136|141,088[GJ]|1511,878|||788,815[m3]|0,005[m3]|0,000[m3]|0,001[m3]|0,180|||1,80[kW]|76,1|67,3|8,8|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 2/15
44|28510309|0||19-12-11|10m23s09|92610|4572|78,300[GJ]|661,570|||412,027[m3]|0,000[m3]|0,000[m3]|0,005[m3]|0,000|||0,00[kW]|66,2|35,4|30,8|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 2/16
45|28410309|0||19-12-11|10m23s13|92611|372|127,698[GJ]|1319,870|||997,336[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,020|||0,41[kW]|75,5|57,4|18,1|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 2/17
46|28500309|0||19-12-11|10m23s18|92440|5631|72,748[GJ]|809,362|||399,229[m3]|7,936[m3]|0,523[m3]|0,095[m3]|0,073|||0,98[kW]|76,2|64,3|11,9|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 2/18
47|28350309|0||19-12-11|10m23s22|92453|196|69,202[GJ]|1430,449|||149,606[m3]|102,372[m3]|67,176[m3]|5,678[m3]|0,000|||0,00[kW]|64,1|35,7|28,4|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 2/19
48|12260609|0||19-12-11|10m23s26|90383|721|126,520[GJ]|1697,844|||887,846[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,021|||0,91[kW]|74,7|37,1|37,6|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 2/20
49|12280609|0||19-12-11|10m23s30|83200|1522|131,350[GJ]|1783,979|||794,660[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,002|||0,07[kW]|73,8|41,6|32,2|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 2/21
4a|27550309|0||19-12-11|10m23s34|92554|611|192,640[GJ]|3018,542|||1260,575[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|91,7|64,5|27,2|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 2/22
4b|09441207|0||19-12-11|10m23s39|101796|1617|117,634[GJ]|1701,714|||348,436[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|64,6|37,9|26,7|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 2/23
4c|01050308|0||19-12-11|10m23s43|92063|6760|134,370[GJ]|2142,513|||298,540[m3]|75,835[m3]|141,227[m3]|160,548[m3]|0,012|||0,62[kW]|71,8|27,1|44,7|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 2/24
4d|05530906|0||19-12-11|10m23s47|113378|26263|175,078[GJ]|1833,477|||48,060[m3]|130,581[m3]|20,213[m3]|1,189[m3]|0,211|||2,19[kW]|86,4|77,1|9,3|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||SOCJLNE W2
4e|01631760|0||19-12-11|10m23s51|28563|2|1543,710[GJ]|34524,120||||||0,0010[m3]|1,50|||0,018[MW]|95,96|74,27|21,69|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wezel cieplny W2
4f|20340608|2||19-12-11|10m23s56|100544|43783|51,112[GJ]|1242,123|||0,000[m3]|2,333[m3]|0,000[m3]|0,000[m3]|0,000 (!)|||0,00 (!)[kW]|51,9|25,7|26,2|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Sklep Wielewska 4
50|20560608|0||19-12-11|10m24s00|100439|4976|72,297[GJ]|1981,791|||246,868[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,029|||0,92[kW]|74,1|46,2|27,9|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 8/1
